outcome	maximum_intersection	percentage_intersection	outcome_cluster	outcome_cluster_elements	omeans_cases	omeans_deaths	omeans_mobility	residential_cluster	residential_cluster_elements	rmeans_cases	rmeans_deaths	rmeans_mobility
Cases	2	0.2	c-3	Barueri,Santo André	-1.0738831154487705	-1.4674193564807383	9.797253468316466	c-1	Jundiaí,Mairiporã,Santos,Santo André,Barueri,Osasco,São Bernardo do Campo,São Paulo,Santana de Parnaíba,Campinas	-0.8044992586670923	-1.2186431433034226	9.47112298462692
Cases	0	0.0	c-1		0	0	0	c-2	Mogi das Cruzes,Mauá,Caieiras	-0.44929320966273695	-0.7696886403953044	8.35217472815898
Cases	0	0.0	c-1		0	0	0	c-3	Americana,Salto,Piracicaba	-0.6628006790389381	-1.0281906019486342	6.5205286839145105
Cases	0	0.0	c-1		0	0	0	c-4	Jacareí,Itaquaquecetuba,Jarinu	1.5050450576199808	1.3126257537436583	6.86477315335583
Cases	0	0.0	c-1		0	0	0	c-5	Várzea Paulista,Poá	3.427430280307983	3.3793962574277536	7.089998125234344
Cases	0	0.0	c-1		0	0	0	c-6	São Manuel,Tatuí	1.0619025266359832	0.9431333015771368	5.395172478440195
Cases	2	1.0	c-5	Castilho,Sales Oliveira	2.154153353007973	2.0992513297235598	2.444900637420323	c-7	Castilho,Sales Oliveira	2.154153353007973	2.0992513297235598	2.444900637420323
Cases	2	1.0	c-6	Flórida Paulista,Guará	2.198759367785155	2.1801976945849093	2.3848518935133116	c-8	Flórida Paulista,Guará	2.198759367785155	2.1801976945849093	2.3848518935133116
Cases	2	1.0	c-7	Divinolândia,Apiaí	2.3650966130384017	2.3620330254384663	2.480539932508436	c-9	Divinolândia,Apiaí	2.3650966130384017	2.3620330254384663	2.480539932508436
Cases	0	0.0	c-1		0	0	0	c-10	Pilar do Sul,Tapiratiba	2.2186314207000892	2.2111389404363413	2.7917697787776543
Cases	0	0.0	c-1		0	0	0	c-11	Cesário Lange,Angatuba	0.31550911793764613	0.29567886483687267	0.6552399700037495
Cases	0	0.0	c-1		0	0	0	c-12	Rio Grande da Serra,Iracemápolis	1.6429983789882532	1.6429983789882532	1.9917135358080242
Cases	2	0.6666666666666666	c-8	Cajati,Jaci	1.6889206315566403	1.6694598509286616	1.8166291713535814	c-13	Ribeirão Branco,Cajati,Jaci	1.6267253867814884	1.6109190363207162	1.8266529183852025
Cases	2	1.0	c-9	Sete Barras,Parapuã	1.4468105426705224	1.4387351390388399	1.510329958755156	c-14	Sete Barras,Parapuã	1.4468105426705224	1.4387351390388399	1.510329958755156
Cases	2	1.0	c-10	Bernardino de Campos,Iguape	1.3625454729169049	1.3625454729169049	1.4344769403824524	c-15	Bernardino de Campos,Iguape	1.3625454729169049	1.3625454729169049	1.4344769403824524
Cases	0	0.0	c-1		0	0	0	c-16	Pirangi,Itaporanga	1.135824049945012	1.117982576286443	1.2837082864641922
Cases	3	0.75	c-11	Bofete,Paraibuna,Monte Aprazível	1.7127689288910064	1.7119788239155103	1.7984064491938507	c-17	Bofete,Paraibuna,Monte Aprazível,Águas de Lindóia	1.4896512970942946	1.485804363020595	1.7813460817397826
