identifier	id_cluster	number_elements	cities
mobility	c-127	27	Monte Azul,São João Evangelista,Itamonte,Santa Maria de Itabira,Maria da Fé,Coração de Jesus,Rio Paranaíba,Iturama,Mantena,Monte Sião,Pompéu,Alterosa,São Gonçalo do Sapucaí,Congonhal,Porteirinha,Lagoa Formosa,Capitólio,Rio Piracicaba,Dores do Indaiá,Carmo do Paranaíba,Nova Resende,Mar de Espanha,Itaú de Minas,Ipanema,São Domingos do Prata,Antônio Carlos,Vazante
mobility	c-128	6	Carmo de Minas,Teixeiras,Salinas,Raul Soares,Felixlândia,Caldas
mobility	c-129	2	Santa Maria do Pará,Igarapé-Açu
mobility	c-130	4	Conceição do Araguaia,Moju,Óbidos,Novo Progresso
mobility	c-131	3	Alenquer,Vigia,Rurópolis
mobility	c-132	2	Rondon do Pará,Anapu
mobility	c-133	2	São Geraldo do Araguaia,Ulianópolis
mobility	c-134	3	Brasil Novo,Curionópolis,Breu Branco
mobility	c-135	2	Capitão Poço,Benevides
mobility	c-136	3	Abaetetuba,Almeirim,Portel
mobility	c-137	3	Mocajuba,Itupiranga,Uruará
mobility	c-138	4	São Félix do Xingu,Acará,Concórdia do Pará,Terra Santa
mobility	c-139	3	Rio Maria,Santana do Araguaia,São Domingos do Araguaia
mobility	c-140	2	Santa Rita de Cássia,Seabra
mobility	c-141	2	Castro Alves,Senhor do Bonfim
mobility	c-142	2	Ibicaraí,Camacan
mobility	c-143	2	Campo Formoso,Valente
mobility	c-144	2	Itacaré,Gandu
mobility	c-145	2	Itajuípe,Maragogipe
mobility	c-146	2	Belo Campo,Medeiros Neto
mobility	c-147	4	Barra da Estiva,Ubatã,Uauá,São Sebastião do Passé
mobility	c-148	7	Itanhém,Itatim,Santa Maria da Vitória,Conceição do Jacuípe,São Félix do Coribe,Caetité,Uruçuca
mobility	c-149	3	Amargosa,Cachoeira,Miguel Calmon
mobility	c-150	2	Entre Rios,Correntina
mobility	c-151	3	Mutuípe,Alcobaça,Irará
mobility	c-152	4	Caravelas,Cruz das Almas,Itabela,Madre de Deus
mobility	c-153	2	Laje,Cândido Sales
mobility	c-154	5	Capim Grosso,Iguaí,Muritiba,Lapão,Nova Viçosa
mobility	c-155	3	Ibotirama,Ribeira do Pombal,Coaraci
mobility	c-156	6	Araci,Livramento de Nossa Senhora,Itiúba,Barra do Choça,Curaçá,Xique-Xique
mobility	c-157	5	Euclides da Cunha,Bom Jesus da Lapa,Jaguaquara,Catu,Belmonte
mobility	c-158	4	Santa Cruz Cabrália,Santo Amaro,Itarantim,Cansanção
mobility	c-159	5	Alhandra,Ingá,Solânea,Alagoa Nova,Cuité
mobility	c-160	3	Serra,Vila Velha,Guarapari
mobility	c-161	2	Anchieta,Guaçuí
mobility	c-162	19	São Roque do Canaã,Ecoporanga,Itapemirim,Bom Jesus do Norte,Pedro Canário,Marataízes,Iconha,Santa Leopoldina,Vila Valério,Venda Nova do Imigrante,Presidente Kennedy,Vargem Alta,Piúma,Domingos Martins,Montanha,Fundão,Iúna,Santa Maria de Jetibá,Pinheiros
mobility	c-163	2	Pancas,Marilândia
mobility	c-164	2	Jucurutu,Ceará-Mirim
mobility	c-165	2	Santa Cruz,São Miguel
mobility	c-166	5	Caraúbas,Goianinha,Jardim de Piranhas,Macau,João Câmara
mobility	c-167	2	Parnaíba,Teresina
mobility	c-168	2	Palmeiras de Goiás,Goianápolis
mobility	c-169	2	Piracanjuba,Piranhas
mobility	c-170	4	Guapó,Rialma,Caçu,Cachoeira Alta
mobility	c-171	10	Orizona,Ipameri,Jussara,Campinorte,Rubiataba,Caiapônia,Corumbaíba,Vianópolis,Posse,Sanclerlândia
mobility	c-172	2	Marechal Deodoro,São José da Laje
mobility	c-173	2	Penedo,Pão de Açúcar
mobility	c-174	2	Tangará da Serra,Campo Novo do Parecis
mobility	c-175	2	Canarana,Campos de Júlio
mobility	c-176	2	Diamantino,Aripuanã
mobility	c-177	2	Nova Xavantina,Brasnorte
mobility	c-178	4	Confresa,Tapurah,Peixoto de Azevedo,Mirassol d'Oeste
mobility	c-179	2	Paraíso do Tocantins,Gurupi
mobility	c-180	2	Dianópolis,Guaraí
mobility	c-181	2	Pedro Afonso,Formoso do Araguaia
mobility	c-182	3	Nova Mamoré,São Miguel do Guaporé,Colorado do Oeste
mobility	c-183	2	Capela,Canindé de São Francisco
mobility	c-184	2	Umbaúba,Itaporanga d'Ajuda
mobility	c-185	3	Campo do Brito,Laranjeiras,Carira
mobility	c-186	3	Nossa Senhora das Dores,Poço Redondo,Poço Verde
mobility	c-187	3	Terenos,Cassilândia,Ladário
mobility	c-188	2	Sonora,Aparecida do Taboado
mobility	c-189	14	Bela Vista,Itaquiraí,Caarapó,Porto Murtinho,Anastácio,Batayporã,Mundo Novo,Rio Verde de Mato Grosso,Nova Alvorada do Sul,Deodápolis,Água Clara,Glória de Dourados,Angélica,Camapuã
