city	total_waves	wave_order	peak	indexes	dates	case_numbers
Itaquaquecetuba	2	2	20	38,39,41,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66	2020-w53,2021-w01,2021-w03,2021-w11,2021-w12,2021-w13,2021-w14,2021-w15,2021-w16,2021-w17,2021-w18,2021-w19,2021-w20,2021-w21,2021-w22,2021-w23,2021-w24,2021-w25,2021-w26,2021-w27,2021-w28	4,11,13,48,62,33,23,23,22,20,22,19,18,26,23,23,15,12,14,5,8
Avaré	5	1	8	1,1,3,3,4,5,7,8,9	2020-w15,2020-w15,2020-w18,2020-w18,2020-w19,2020-w20,2020-w22,2020-w23,2020-w24	2,2,1,1,2,3,7,2,5
Avaré	5	2	4	11,13,13,15,16,17,18,19,20,21	2020-w26,2020-w29,2020-w29,2020-w31,2020-w32,2020-w33,2020-w34,2020-w35,2020-w36,2020-w37	6,2,2,3,2,7,5,8,4,5
Avaré	5	3	4	23,24,26,31,32	2020-w39,2020-w40,2020-w42,2020-w50,2020-w51	2,2,3,5,8
Avaré	5	4	12	34,36,36,37,38,40,40,42,42,44,44,46,46,48,49,50,51,52	2020-w53,2021-w02,2021-w02,2021-w03,2021-w04,2021-w06,2021-w06,2021-w08,2021-w08,2021-w10,2021-w10,2021-w12,2021-w12,2021-w14,2021-w15,2021-w16,2021-w17,2021-w18	6,6,6,7,9,7,7,1,1,6,6,12,12,11,8,7,5,8
Avaré	5	5	6	54,56,56,58,58,60,64,65	2021-w20,2021-w22,2021-w22,2021-w24,2021-w24,2021-w26,2021-w35,2021-w41	3,6,6,5,5,3,1,2
Nova Odessa	4	1	12	0,2,2,3,4,5,6,7,9,10,12,13,14,15,16,17,18,19,20,21,22	2020-w19,2020-w21,2020-w21,2020-w22,2020-w23,2020-w24,2020-w25,2020-w26,2020-w28,2020-w29,2020-w31,2020-w32,2020-w33,2020-w34,2020-w35,2020-w36,2020-w37,2020-w39,2020-w40,2020-w41,2020-w42	2,2,2,2,4,5,7,8,10,9,6,8,5,3,5,2,8,1,3,2,3
Nova Odessa	4	2	6	24,25,27,27,28,29,30,32,35,36	2020-w44,2020-w45,2020-w47,2020-w47,2020-w48,2020-w49,2020-w50,2020-w52,2021-w02,2021-w03	1,3,1,1,2,3,5,4,4,5
Nova Odessa	4	3	22	38,39,40,42,42,43,45,47,48	2021-w05,2021-w06,2021-w07,2021-w09,2021-w09,2021-w10,2021-w12,2021-w14,2021-w15	4,4,8,7,7,10,17,8,19
Nova Odessa	4	4	12	50,51,52,53,55,55,57,57,59,61,62	2021-w17,2021-w18,2021-w19,2021-w20,2021-w22,2021-w22,2021-w24,2021-w24,2021-w26,2021-w28,2021-w29	8,9,9,10,4,4,10,10,8,3,11
Olímpia	3	1	12	0,1,2,3,4,6,6,8,8,9,11,11,12,14,14,15,17,17,19,19,21,21,23,24,25	2020-w18,2020-w19,2020-w20,2020-w21,2020-w22,2020-w24,2020-w24,2020-w26,2020-w26,2020-w27,2020-w29,2020-w29,2020-w30,2020-w32,2020-w32,2020-w33,2020-w35,2020-w35,2020-w37,2020-w37,2020-w39,2020-w39,2020-w42,2020-w43,2020-w44	1,1,2,2,2,1,1,1,1,3,4,4,5,7,7,10,5,5,8,8,2,2,5,2,3
Olímpia	3	2	8	27,28,29,30,31,33,33,35,36,37,38,39,40	2020-w46,2020-w47,2020-w49,2020-w50,2020-w51,2020-w53,2020-w53,2021-w02,2021-w03,2021-w04,2021-w05,2021-w06,2021-w07	1,1,1,4,5,1,1,7,6,4,7,6,4
Olímpia	3	3	18	42,44,44,45,47,47,48,50,50,51,53,55,56,57,58,59,60,61,62,63,64,65,66	2021-w09,2021-w11,2021-w11,2021-w12,2021-w14,2021-w14,2021-w15,2021-w17,2021-w17,2021-w18,2021-w20,2021-w22,2021-w23,2021-w24,2021-w25,2021-w26,2021-w27,2021-w28,2021-w29,2021-w30,2021-w31,2021-w32,2021-w33	2,3,3,8,4,4,8,2,2,14,17,17,19,10,7,11,6,9,8,4,3,5,4
Guaíra	3	1	9	1,1,3,3,4,5,6,7,8,10,10,12,12,13,14,16,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38	2020-w25,2020-w25,2020-w27,2020-w27,2020-w28,2020-w30,2020-w31,2020-w32,2020-w33,2020-w35,2020-w35,2020-w37,2020-w37,2020-w38,2020-w39,2020-w41,2021-w11,2021-w12,2021-w13,2021-w14,2021-w15,2021-w16,2021-w17,2021-w18,2021-w19,2021-w20,2021-w21,2021-w22,2021-w23,2021-w24,2021-w25	1,1,2,2,3,3,3,4,5,1,1,3,3,6,8,3,14,16,9,11,7,7,1,14,8,6,2,1,6,3,4
Guaíra	3	2	6	40,41,43,44,45,46	2021-w27,2021-w28,2021-w30,2021-w31,2021-w32,2021-w34	3,4,4,2,3,2
Guaíra	3	3	5	48,51,52,54,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69	2021-w36,2021-w42,2020-w15,2020-w18,2020-w18,2020-w25,2020-w28,2020-w29,2020-w32,2020-w44,2020-w51,2020-w53,2021-w01,2021-w02,2021-w03,2021-w04,2021-w05,2021-w06,2021-w07	2,1,1,1,1,1,1,1,1,2,2,1,4,1,2,1,2,1,5
Barretos	4	1	12	0,1,2,4,4,5,7,11,12,13,14,15	2020-w13,2020-w14,2020-w15,2020-w17,2020-w17,2020-w18,2020-w20,2020-w24,2020-w25,2020-w26,2020-w27,2020-w28	2,3,5,4,4,10,9,33,38,31,49,38
Barretos	4	2	45	17,19,19,21,21,23,23,25,26,27,28,29,30,31,32,33	2020-w30,2020-w32,2020-w32,2020-w34,2020-w34,2020-w36,2020-w36,2020-w38,2020-w39,2020-w40,2020-w41,2020-w42,2020-w43,2020-w44,2020-w45,2020-w46	36,34,34,33,33,26,26,42,36,27,22,19,16,8,2,3
Barretos	4	3	17	35,36,37,39,41,42,43,44	2020-w48,2020-w49,2020-w50,2020-w52,2021-w01,2021-w02,2021-w03,2021-w04	4,4,8,12,21,40,23,37
Barretos	4	4	66	46,47,49,49,51,51,52,53,55,55,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77	2021-w06,2021-w07,2021-w09,2021-w09,2021-w11,2021-w11,2021-w12,2021-w13,2021-w15,2021-w15,2021-w17,2021-w18,2021-w19,2021-w20,2021-w21,2021-w22,2021-w23,2021-w24,2021-w25,2021-w26,2021-w27,2021-w28,2021-w29,2021-w30,2021-w31,2021-w32,2021-w33,2021-w34,2021-w35,2021-w37,2021-w38	34,35,26,26,41,41,57,57,50,50,52,50,50,42,75,43,64,54,60,48,48,35,35,23,19,16,11,3,7,2,3
Itu	5	1	19	1,1,3,3,5,5,7,8,9,10,11	2020-w13,2020-w13,2020-w16,2020-w16,2020-w18,2020-w18,2020-w20,2020-w21,2020-w22,2020-w23,2020-w24	1,1,1,1,5,5,6,5,14,7,19
Itu	5	2	31	13,14,16,17,18,19,20,21	2020-w26,2020-w27,2020-w29,2020-w30,2020-w31,2020-w32,2020-w33,2020-w34	14,17,16,15,12,15,12,13
Itu	5	3	8	23,26,28,30,31,32,33	2020-w36,2020-w39,2020-w41,2020-w43,2020-w44,2020-w45,2020-w46	8,5,5,6,6,2,8
Itu	5	4	35	35,37,37,39,42,43,44,45,46,47	2020-w48,2020-w50,2020-w50,2020-w52,2021-w02,2021-w03,2021-w04,2021-w05,2021-w06,2021-w07	13,15,15,14,25,35,10,11,8,13
Itu	5	5	33	49,50,52,52,53,55,55,56,57,59,59,61,61,62,64,64,66,66,68,69,70,71,72,73,74,75,76,77	2021-w09,2021-w10,2021-w12,2021-w12,2021-w13,2021-w16,2021-w16,2021-w17,2021-w18,2021-w20,2021-w20,2021-w22,2021-w22,2021-w23,2021-w25,2021-w25,2021-w27,2021-w27,2021-w29,2021-w30,2021-w31,2021-w32,2021-w33,2021-w34,2021-w35,2021-w36,2021-w38,2021-w39	2,5,4,4,6,7,7,9,13,10,10,11,11,44,41,41,25,25,16,13,11,7,8,4,2,3,1,3
Sumaré	4	1	12	1,1,2,3,5,7,8	2020-w14,2020-w14,2020-w15,2020-w16,2020-w18,2020-w20,2020-w21	1,1,1,2,8,5,6
Sumaré	4	2	30	10,11,12,14,14,15,16,18,20,21,22,23,24,25,26,27,28,29,30	2020-w23,2020-w24,2020-w25,2020-w27,2020-w27,2020-w28,2020-w29,2020-w31,2020-w33,2020-w34,2020-w35,2020-w36,2020-w37,2020-w38,2020-w39,2020-w40,2020-w41,2020-w42,2020-w43	11,18,20,28,28,29,30,19,15,15,10,10,7,7,6,1,4,2,5
Sumaré	4	3	93	32,33,34,36,36,37,39,39,40,41,43,43,44,46,46,47,48,49,51,52,53,54,55,56	2020-w46,2020-w47,2020-w48,2020-w50,2020-w50,2020-w51,2020-w53,2020-w53,2021-w01,2021-w02,2021-w04,2021-w04,2021-w05,2021-w07,2021-w07,2021-w08,2021-w09,2021-w10,2021-w12,2021-w13,2021-w14,2021-w15,2021-w16,2021-w17	2,4,4,6,6,8,5,5,7,9,4,4,8,8,8,19,44,51,78,62,43,38,12,20
Sumaré	4	4	35	58,59,61,61,63,63,65,66,67,68,69,70,71	2021-w19,2021-w20,2021-w22,2021-w22,2021-w24,2021-w24,2021-w26,2021-w27,2021-w28,2021-w29,2021-w30,2021-w31,2021-w32	21,25,21,21,32,32,22,16,12,11,8,8,4
Araçatuba	5	1	7	0,1,2,4,6,7	2020-w12,2020-w13,2020-w14,2020-w16,2020-w18,2020-w19	1,6,7,3,5,5
Araçatuba	5	2	27	9,10,11,13,13,14,16,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33	2020-w21,2020-w22,2020-w23,2020-w25,2020-w25,2020-w26,2020-w28,2020-w28,2020-w29,2020-w30,2020-w32,2020-w33,2020-w34,2020-w35,2020-w36,2020-w37,2020-w38,2020-w39,2020-w40,2020-w41,2020-w42,2020-w43,2020-w44,2020-w45	7,9,15,20,20,24,27,27,27,27,26,21,21,19,4,15,13,26,20,19,17,22,18,15
Araçatuba	5	3	30	35,36,38,38,39,41,41,43,46,47	2020-w47,2020-w48,2020-w50,2020-w50,2020-w51,2020-w53,2020-w53,2021-w02,2021-w05,2021-w06	15,18,20,20,35,17,17,29,28,44
Araçatuba	5	4	98	49,51,51,53,54,55,56	2021-w08,2021-w10,2021-w10,2021-w12,2021-w13,2021-w14,2021-w15	65,86,86,75,66,60,38
Araçatuba	5	5	49	58,59,61,61,62,64,64,66,67,68,69,70,71,72,73,74,75	2021-w17,2021-w18,2021-w20,2021-w20,2021-w21,2021-w23,2021-w23,2021-w25,2021-w26,2021-w27,2021-w28,2021-w29,2021-w30,2021-w31,2021-w32,2021-w33,2021-w34	30,35,32,32,34,37,37,42,35,26,34,33,29,24,20,11,11
Serrana	5	1	20	0,1,2,3,5,5,6,8,8,10,11,12,13,14,15,16,17,18,19	2020-w16,2020-w22,2020-w23,2020-w24,2020-w26,2020-w26,2020-w27,2020-w29,2020-w29,2020-w31,2020-w32,2020-w33,2020-w34,2020-w35,2020-w36,2020-w37,2020-w38,2020-w39,2020-w40	3,4,4,7,9,9,14,13,13,15,14,13,6,9,7,2,7,5,7
Serrana	5	2	3	21,23,23,25,25,27,29,30	2020-w42,2020-w44,2020-w44,2020-w47,2020-w47,2020-w49,2020-w51,2021-w01	2,1,1,1,1,2,3,7
Serrana	5	3	23	32,35,37,37,38,40,40,42,43,44	2021-w03,2021-w06,2021-w08,2021-w08,2021-w09,2021-w11,2021-w11,2021-w13,2021-w14,2021-w15	12,8,11,11,11,18,18,21,20,28
Serrana	5	4	21	46,47,48,50,50,51,52,54,55,56,57	2021-w17,2021-w18,2021-w19,2021-w21,2021-w21,2021-w22,2021-w23,2021-w25,2021-w26,2021-w27,2021-w28	13,16,18,17,17,17,17,19,13,11,8
Serrana	5	5	5	59,61,61,63,66,67,68	2021-w30,2021-w32,2021-w32,2021-w34,2021-w40,2021-w41,2021-w42	7,5,5,3,2,4,3
Campo Limpo Paulista	3	1	10	0,2,2,3,4,5,6,8,8,10,10,12,12,13,15,15,17,17,18,19,21,21,22,24,24,25,27,27,29,29,30,32,33,34	2020-w15,2020-w17,2020-w17,2020-w18,2020-w19,2020-w20,2020-w21,2020-w23,2020-w23,2020-w25,2020-w25,2020-w27,2020-w27,2020-w28,2020-w30,2020-w30,2020-w32,2020-w32,2020-w33,2020-w34,2020-w38,2020-w38,2020-w39,2020-w42,2020-w42,2020-w43,2020-w48,2020-w48,2020-w52,2020-w52,2021-w01,2021-w03,2021-w04,2021-w05	1,1,1,2,3,3,4,1,1,3,3,2,2,6,4,4,1,1,2,2,1,1,1,1,1,1,1,1,1,1,6,4,3,4
Campo Limpo Paulista	3	2	32	36,37,39,39,41,42,43,44,45,46	2021-w08,2021-w09,2021-w11,2021-w11,2021-w13,2021-w14,2021-w15,2021-w16,2021-w17,2021-w18	4,7,19,19,29,23,15,16,15,8
Campo Limpo Paulista	3	3	8	48,50,50,52,52,53,55,55,57,57,59,60,61	2021-w20,2021-w22,2021-w22,2021-w24,2021-w24,2021-w25,2021-w27,2021-w27,2021-w29,2021-w29,2021-w31,2021-w32,2021-w33	9,10,10,4,4,11,5,5,2,2,4,3,2
Carapicuíba	3	1	20	0,1,2,3,4,5,7,7,9,9,10,12,12,14,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29	2020-w13,2020-w14,2020-w15,2020-w16,2020-w17,2020-w18,2020-w20,2020-w20,2020-w22,2020-w22,2020-w23,2020-w25,2020-w25,2020-w27,2020-w27,2020-w29,2020-w30,2020-w31,2020-w32,2020-w33,2020-w34,2020-w35,2020-w36,2020-w37,2020-w38,2020-w39,2020-w40,2020-w41,2020-w42	2,6,6,8,17,18,19,19,10,10,18,15,15,7,7,16,8,9,6,3,7,4,2,8,3,2,1,4,2
Carapicuíba	3	2	5	31,32,34,34,35,37,39,40,41,42,43	2020-w44,2020-w46,2020-w49,2020-w49,2020-w50,2020-w52,2021-w01,2021-w02,2021-w03,2021-w04,2021-w05	2,6,2,2,2,4,6,8,5,4,5
Carapicuíba	3	3	15	45,46,47,48,50,50,52,52,54,55,56,57,58,59,60,61,62,63	2021-w08,2021-w09,2021-w10,2021-w11,2021-w13,2021-w13,2021-w15,2021-w15,2021-w17,2021-w18,2021-w19,2021-w20,2021-w21,2021-w22,2021-w23,2021-w24,2021-w25,2021-w26	6,11,13,27,25,25,14,14,12,5,21,16,17,10,9,12,11,5
Taboão da Serra	5	1	24	0,1,2,3,4,5,7,7,9,9,11,11,13,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28	2020-w12,2020-w13,2020-w14,2020-w15,2020-w16,2020-w17,2020-w19,2020-w19,2020-w21,2020-w21,2020-w23,2020-w23,2020-w25,2020-w25,2020-w27,2020-w28,2020-w29,2020-w30,2020-w31,2020-w32,2020-w33,2020-w34,2020-w35,2020-w36,2020-w37,2020-w38,2020-w39,2020-w40	2,8,13,13,15,27,31,31,29,29,23,23,20,20,23,19,27,17,15,21,17,6,18,5,11,9,14,8
Taboão da Serra	5	2	27	30,31,32,33,34,35,36,38,38,40,40,41,43,45,46	2020-w42,2020-w43,2020-w44,2020-w45,2020-w46,2020-w47,2020-w48,2020-w50,2020-w50,2020-w52,2020-w52,2020-w53,2021-w02,2021-w04,2021-w05	3,5,6,7,12,18,19,18,18,9,9,11,18,11,18
Taboão da Serra	5	3	39	48,49,51,52,53,54	2021-w07,2021-w08,2021-w10,2021-w11,2021-w12,2021-w13	14,22,32,30,30,20
Taboão da Serra	5	4	30	56,57,59,61,62	2021-w15,2021-w16,2021-w18,2021-w20,2021-w21	24,24,15,16,20
Taboão da Serra	5	5	13	64,66,66,68,68,70,71,72	2021-w23,2021-w25,2021-w25,2021-w27,2021-w27,2021-w29,2021-w30,2021-w31	18,19,19,6,6,6,4,5
Franca	2	1	5	1,1,2,3,4,6,6,7,9,9,11,11,13,13,14,16,16,18,18,20,21,25,26,27	2020-w15,2020-w15,2020-w16,2020-w17,2020-w18,2020-w21,2020-w21,2020-w22,2020-w24,2020-w24,2020-w26,2020-w26,2020-w28,2020-w28,2020-w29,2020-w31,2020-w31,2020-w33,2020-w33,2020-w37,2020-w39,2020-w48,2020-w49,2020-w50	1,1,1,1,4,6,6,6,1,1,3,3,3,3,11,2,2,1,1,4,2,3,4,2
Franca	2	2	3	29,31,31,32,34,34,36,36,38,43,44	2020-w52,2021-w01,2021-w01,2021-w02,2021-w04,2021-w04,2021-w07,2021-w07,2021-w09,2021-w18,2021-w19	2,3,3,5,4,4,2,2,2,3,3
São José do Rio Preto	4	1	38	0,1,5,5,6,7,9,11,12	2020-w12,2020-w13,2020-w17,2020-w17,2020-w18,2020-w19,2020-w21,2020-w23,2020-w24	4,12,6,6,20,26,37,84,132
São José do Rio Preto	4	2	276	14,15,17,17,18,19,21,21,23,24,25,26,27,28,29,30,31,32	2020-w26,2020-w27,2020-w29,2020-w29,2020-w30,2020-w31,2020-w33,2020-w33,2020-w35,2020-w36,2020-w37,2020-w38,2020-w39,2020-w40,2020-w41,2020-w42,2020-w43,2020-w44	133,233,209,209,246,277,230,230,243,217,207,203,179,201,175,138,121,98
São José do Rio Preto	4	3	257	34,36,36,38,38,39,41,41,43,44,52,53,54,55,56,57,58	2020-w46,2020-w48,2020-w48,2020-w50,2020-w50,2020-w51,2020-w53,2020-w53,2021-w02,2021-w03,2021-w11,2021-w12,2021-w13,2021-w14,2021-w15,2021-w16,2021-w17	99,132,132,145,145,175,123,123,251,226,503,549,471,425,378,333,333
São José do Rio Preto	4	4	490	60,62,62,63,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89	2021-w19,2021-w21,2021-w21,2021-w22,2021-w24,2021-w25,2021-w26,2021-w27,2021-w28,2021-w29,2021-w30,2021-w31,2021-w32,2021-w33,2021-w34,2021-w35,2021-w36,2021-w37,2021-w38,2021-w39,2021-w40,2021-w41,2021-w42,2021-w43,2021-w44,2021-w45,2021-w46,2021-w47,2021-w48	397,379,379,440,452,405,321,249,219,185,161,144,100,69,59,51,28,42,40,35,25,17,17,10,6,5,13,11,5
Santa Fé do Sul	3	1	6	0,3,6,8,8,10,12,13,14,15,16,17,18,19	2020-w21,2020-w27,2020-w30,2020-w32,2020-w32,2020-w34,2020-w36,2020-w37,2020-w38,2020-w39,2020-w40,2020-w41,2020-w42,2020-w43	2,3,2,3,3,4,5,6,3,3,1,4,2,3
Santa Fé do Sul	3	2	6	21,22,24,24,25,26,28,28,30,31,33,34	2020-w46,2020-w47,2020-w49,2020-w49,2020-w50,2020-w51,2020-w53,2020-w53,2021-w02,2021-w03,2021-w05,2021-w06	1,3,3,3,3,5,2,2,4,2,2,6
Santa Fé do Sul	3	3	15	36,37,39,39,40,41,43,44,48,49,50,51,52,53,54,55,56,57,58,59,60,61	2021-w08,2021-w09,2021-w11,2021-w11,2021-w12,2021-w13,2021-w15,2021-w16,2021-w20,2021-w21,2021-w22,2021-w23,2021-w24,2021-w25,2021-w26,2021-w27,2021-w28,2021-w29,2021-w30,2021-w31,2021-w32,2021-w33	4,7,6,6,6,11,11,7,8,12,10,6,5,7,4,6,1,3,2,4,2,2
Cubatão	4	1	38	0,1,3,3,4,5,6,7,9,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25	2020-w13,2020-w14,2020-w16,2020-w16,2020-w17,2020-w18,2020-w19,2020-w20,2020-w22,2020-w22,2020-w24,2020-w25,2020-w26,2020-w27,2020-w28,2020-w29,2020-w30,2020-w31,2020-w32,2020-w33,2020-w34,2020-w35,2020-w36,2020-w37,2020-w38	2,2,4,4,13,15,26,35,19,19,30,25,21,19,18,12,4,9,6,5,9,4,5,3,3
Cubatão	4	2	12	27,28,29,30,32,32,34,35,36,37,38,39,40,41,42,43,44,45,46	2020-w40,2020-w41,2020-w42,2020-w43,2020-w45,2020-w45,2020-w47,2020-w48,2020-w49,2020-w50,2020-w51,2020-w52,2020-w53,2021-w01,2021-w02,2021-w03,2021-w04,2021-w05,2021-w06	1,1,4,9,8,8,9,8,15,11,8,7,3,7,5,5,4,11,3
Cubatão	4	3	27	48,49,50,51,52,54,55,56,57,58	2021-w08,2021-w09,2021-w10,2021-w11,2021-w12,2021-w14,2021-w15,2021-w16,2021-w17,2021-w18	9,14,15,17,25,23,19,17,13,14
Cubatão	4	4	22	60,62,62,64,65,66,67,68	2021-w20,2021-w22,2021-w22,2021-w24,2021-w25,2021-w26,2021-w27,2021-w28	16,19,19,17,11,9,4,3
Paulínia	3	1	25	0,2,2,3,4,5,6,8,8,9,11,11,12,14,15,16,17,18	2020-w13,2020-w16,2020-w16,2020-w17,2020-w18,2020-w19,2020-w20,2020-w23,2020-w23,2020-w24,2020-w26,2020-w26,2020-w27,2020-w29,2020-w30,2020-w31,2020-w32,2020-w33	1,1,1,1,1,1,1,3,3,14,12,12,23,24,21,16,12,8
Paulínia	3	2	17	20,23,25,25,27,27,28,29,31,31,32,33,34,36,36,38,38,39,40,41,43,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65	2020-w35,2020-w38,2020-w40,2020-w40,2020-w42,2020-w42,2020-w43,2020-w44,2020-w46,2020-w46,2020-w47,2020-w48,2020-w49,2020-w51,2020-w51,2020-w53,2020-w53,2021-w01,2021-w02,2021-w03,2021-w05,2021-w08,2021-w09,2021-w10,2021-w11,2021-w12,2021-w13,2021-w14,2021-w15,2021-w16,2021-w17,2021-w18,2021-w19,2021-w20,2021-w21,2021-w22,2021-w23,2021-w24,2021-w25,2021-w26,2021-w27	8,2,4,4,1,1,3,3,2,2,4,4,5,6,6,5,5,5,14,16,14,20,39,38,54,48,35,32,31,20,27,11,29,22,19,40,33,28,56,22,20
Paulínia	3	3	19	67,69,69,71,72,73,74,75,76,77,78	2021-w29,2021-w31,2021-w31,2021-w33,2021-w34,2021-w35,2021-w36,2021-w37,2021-w38,2021-w39,2021-w40	19,14,14,7,6,4,5,4,2,5,4
Orlândia	1	1	3	0,2,2,3,5,5,7,7,8,10,10,11,12,13,14,15,16,17,19,19,21,24,25,26	2020-w19,2020-w21,2020-w21,2020-w22,2020-w29,2020-w29,2020-w32,2020-w32,2020-w33,2020-w36,2020-w36,2020-w37,2021-w01,2021-w03,2021-w04,2021-w05,2021-w08,2021-w10,2021-w14,2021-w14,2021-w16,2021-w20,2021-w23,2021-w27	1,1,1,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2
Botucatu	5	1	23	0,3,4,5,7,7,8,10,10,11,12,13,15,15,17,18,19,20,21,22	2020-w13,2020-w16,2020-w17,2020-w18,2020-w20,2020-w20,2020-w21,2020-w23,2020-w23,2020-w24,2020-w25,2020-w26,2020-w28,2020-w28,2020-w30,2020-w31,2020-w32,2020-w33,2020-w34,2020-w35	3,1,5,6,7,7,11,9,9,13,13,13,12,12,17,13,14,11,9,23
Botucatu	5	2	15	24,26,26,28,29,30,31	2020-w37,2020-w39,2020-w39,2020-w41,2020-w42,2020-w43,2020-w44	11,11,11,8,5,5,3
Botucatu	5	3	44	33,35,35,37,37,39,39,40,42,42,43,44,46,48,49	2020-w46,2020-w48,2020-w48,2020-w50,2020-w50,2020-w52,2020-w52,2020-w53,2021-w02,2021-w02,2021-w03,2021-w04,2021-w06,2021-w08,2021-w09	5,10,10,15,15,8,8,19,18,18,27,44,32,37,60
Botucatu	5	4	67	51,52,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68	2021-w11,2021-w12,2021-w14,2021-w15,2021-w16,2021-w17,2021-w18,2021-w19,2021-w20,2021-w21,2021-w22,2021-w23,2021-w24,2021-w25,2021-w26,2021-w27,2021-w28	54,60,62,40,46,44,56,45,80,51,69,61,43,31,30,26,24
Botucatu	5	5	18	70,71,73,75,76,77,78,79,80,81	2021-w30,2021-w31,2021-w33,2021-w35,2021-w36,2021-w37,2021-w38,2021-w39,2021-w41,2021-w43	12,15,15,13,19,11,12,4,2,2
Itapetininga	4	1	10	2,3,5,5,6,8,8,9,10,11,13,15,16	2020-w15,2020-w16,2020-w19,2020-w19,2020-w20,2020-w22,2020-w22,2020-w23,2020-w24,2020-w25,2020-w27,2020-w29,2020-w30	1,1,2,2,7,5,5,6,6,9,5,5,9
Itapetininga	4	2	8	18,19,20,22,23,24,25,26,27,28,29	2020-w32,2020-w33,2020-w34,2020-w36,2020-w37,2020-w38,2020-w39,2020-w40,2020-w41,2020-w42,2020-w43	4,7,8,6,5,3,14,7,5,6,5
Itapetininga	4	3	34	31,32,34,34,35,37,37,38,40,40,42,42,44,44,45,46,48,48,49,51,52,53,54,55	2020-w46,2020-w47,2020-w49,2020-w49,2020-w50,2020-w52,2020-w52,2020-w53,2021-w02,2021-w02,2021-w04,2021-w04,2021-w06,2021-w06,2021-w07,2021-w08,2021-w10,2021-w10,2021-w11,2021-w13,2021-w14,2021-w15,2021-w16,2021-w17	3,4,5,5,8,9,9,12,12,12,9,9,8,8,9,15,13,13,19,26,20,15,25,17
Itapetininga	4	4	47	57,58,59,60,62,63,64,65,66,67,68,69,70,71,72	2021-w19,2021-w20,2021-w21,2021-w22,2021-w24,2021-w25,2021-w26,2021-w27,2021-w28,2021-w29,2021-w30,2021-w31,2021-w32,2021-w33,2021-w35	13,17,32,40,32,24,29,2,18,15,7,12,9,9,2
Américo Brasiliense	2	1	7	0,2,2,3,4,6,6,7,8,9,11,11,13,13,14,16,17,18,19	2020-w14,2020-w16,2020-w16,2020-w18,2020-w20,2020-w22,2020-w22,2020-w23,2020-w24,2020-w25,2020-w27,2020-w27,2020-w29,2020-w29,2020-w30,2020-w32,2020-w33,2020-w34,2020-w35	2,1,1,2,5,2,2,3,4,4,2,2,4,4,6,6,5,5,4
Américo Brasiliense	2	2	16	21,23,23,24,26,26,27,29,29,30,31,32,33,34,35,36,38,38,39,40,42,42,43,45,46,47,48,49,50,51	2020-w37,2020-w39,2020-w39,2020-w40,2020-w42,2020-w42,2020-w43,2020-w45,2020-w45,2020-w48,2020-w50,2020-w53,2021-w01,2021-w04,2021-w05,2021-w06,2021-w08,2021-w08,2021-w09,2021-w10,2021-w12,2021-w12,2021-w13,2021-w15,2021-w16,2021-w17,2021-w18,2021-w19,2021-w20,2021-w21	3,2,2,2,1,1,4,1,1,1,1,1,1,5,5,9,9,9,10,12,11,11,14,14,10,6,14,5,4,7
Vinhedo	4	1	11	0,1,2,3,4,5,6,7,8,9,10,11,12,14,14,15,17,18,19,20,21,22,23,24	2020-w13,2020-w14,2020-w15,2020-w16,2020-w17,2020-w18,2020-w19,2020-w20,2020-w22,2020-w23,2020-w24,2020-w25,2020-w26,2020-w28,2020-w28,2020-w29,2020-w31,2020-w32,2020-w33,2020-w34,2020-w35,2020-w36,2020-w37,2020-w38	1,1,1,1,1,1,2,2,6,6,7,7,9,9,9,9,5,4,8,2,6,4,1,5
Vinhedo	4	2	11	26,27,28,29,31,32,33,34,35	2020-w40,2020-w42,2020-w44,2020-w45,2020-w47,2020-w48,2020-w49,2020-w50,2020-w51	1,1,2,5,6,4,9,4,7
Vinhedo	4	3	11	37,39,39,40,42,47,48,49,50	2020-w53,2021-w02,2021-w02,2021-w03,2021-w05,2021-w10,2021-w11,2021-w12,2021-w13	7,6,6,6,7,18,24,23,15
Vinhedo	4	4	14	52,53,55,55,57,57,58,60,60,61,63,64,65	2021-w15,2021-w16,2021-w18,2021-w18,2021-w20,2021-w20,2021-w21,2021-w23,2021-w23,2021-w24,2021-w26,2021-w27,2021-w28	12,13,8,8,13,13,15,12,12,14,9,7,6
