city	total_waves	wave_order	peak	indexes	dates	case_numbers
Sertãozinho	6	1	46	2,3,4,6,6,7,8,9,10,12,12,13,15,16,17,18,19,20,21,22	2020-w15,2020-w17,2020-w18,2020-w20,2020-w20,2020-w21,2020-w22,2020-w23,2020-w24,2020-w26,2020-w26,2020-w27,2020-w29,2020-w30,2020-w31,2020-w32,2020-w33,2020-w34,2020-w35,2020-w36	1,1,1,2,2,2,4,12,12,20,20,31,30,22,18,25,16,9,15,8
Sertãozinho	6	2	8	24,27,29,29,31,32,34,35	2020-w38,2020-w41,2020-w43,2020-w43,2020-w45,2020-w46,2020-w49,2020-w50	10,5,6,6,6,5,4,8
Sertãozinho	6	3	31	37,38,39,41,42,43	2020-w52,2020-w53,2021-w01,2021-w03,2021-w04,2021-w05	8,17,25,27,25,45
Sertãozinho	6	4	99	45,46,47,48,49,51,52,53	2021-w07,2021-w08,2021-w09,2021-w10,2021-w11,2021-w13,2021-w14,2021-w15	37,48,53,60,78,92,86,62
Sertãozinho	6	5	93	55,57,57,58,60,60,62,63,64,65	2021-w17,2021-w19,2021-w19,2021-w20,2021-w22,2021-w22,2021-w24,2021-w25,2021-w26,2021-w27	63,57,57,71,63,63,67,22,10,11
Sertãozinho	6	6	10	67,68,70,71,72	2021-w29,2021-w30,2021-w32,2021-w33,2021-w34	3,3,2,1,3
São Bernardo do Campo	3	1	251	0,1,2,3,5,5,6,8,8,10,10,12,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	2020-w11,2020-w12,2020-w13,2020-w14,2020-w16,2020-w16,2020-w17,2020-w19,2020-w19,2020-w21,2020-w21,2020-w23,2020-w23,2020-w25,2020-w26,2020-w27,2020-w28,2020-w29,2020-w30,2020-w31,2020-w32,2020-w33,2020-w34,2020-w35,2020-w36,2020-w37,2020-w38,2020-w39,2020-w40	1,2,21,106,110,110,151,183,183,208,208,204,204,247,184,187,184,159,114,129,122,112,97,114,107,90,77,75,48
São Bernardo do Campo	3	2	578	31,32,34,34,35,37,37,39,39,41,41,42,43,45,45,47,47,48,49,50,51,52,54,55,56,57	2020-w42,2020-w43,2020-w45,2020-w45,2020-w46,2020-w48,2020-w48,2020-w50,2020-w50,2020-w52,2020-w52,2020-w53,2021-w01,2021-w03,2021-w03,2021-w05,2021-w05,2021-w06,2021-w07,2021-w08,2021-w09,2021-w10,2021-w12,2021-w13,2021-w14,2021-w15	50,54,45,45,80,116,116,158,158,123,123,125,171,160,160,169,169,202,248,310,365,418,433,349,252,265
São Bernardo do Campo	3	3	259	59,60,61,63,63,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89	2021-w17,2021-w18,2021-w19,2021-w21,2021-w21,2021-w23,2021-w24,2021-w25,2021-w26,2021-w27,2021-w28,2021-w29,2021-w30,2021-w31,2021-w32,2021-w33,2021-w34,2021-w35,2021-w36,2021-w37,2021-w38,2021-w39,2021-w40,2021-w41,2021-w42,2021-w43,2021-w44,2021-w45,2021-w46,2021-w47	209,217,268,236,236,242,193,187,109,111,79,75,86,57,45,48,33,39,34,27,21,22,21,24,15,11,9,6,4,3
São Caetano do Sul	6	1	48	0,1,3,3,4,6,6,7,9,9,11,11,12,14,14,15,16,18,19,20	2020-w12,2020-w13,2020-w15,2020-w15,2020-w16,2020-w18,2020-w18,2020-w19,2020-w21,2020-w21,2020-w23,2020-w23,2020-w24,2020-w26,2020-w26,2020-w27,2020-w28,2020-w30,2020-w31,2020-w32	2,19,13,13,27,20,20,45,43,43,20,20,27,25,25,25,38,43,25,27
São Caetano do Sul	6	2	26	22,24,24,26,28,29,30,31	2020-w34,2020-w36,2020-w36,2020-w38,2020-w40,2020-w41,2020-w42,2020-w43	25,26,26,15,28,29,24,38
São Caetano do Sul	6	3	71	33,34,35,36,38,38,40,43,44,45,46,47,48	2020-w45,2020-w46,2020-w47,2020-w48,2020-w50,2020-w50,2020-w52,2021-w02,2021-w03,2021-w04,2021-w05,2021-w06,2021-w07	32,46,60,68,66,66,68,52,88,45,72,43,63
São Caetano do Sul	6	4	148	50,51,52,54,54,56,58,59	2021-w09,2021-w10,2021-w11,2021-w13,2021-w13,2021-w15,2021-w17,2021-w18	130,141,165,139,139,76,53,64
São Caetano do Sul	6	5	36	61,63,63,64,66,66,68,68,70,71,72,73,74,75,76,77,78	2021-w20,2021-w22,2021-w22,2021-w23,2021-w25,2021-w25,2021-w27,2021-w27,2021-w29,2021-w30,2021-w31,2021-w32,2021-w33,2021-w34,2021-w35,2021-w36,2021-w37	48,59,59,80,45,45,29,29,33,23,26,17,15,12,19,12,30
São Caetano do Sul	6	6	14	80,81,83,84,85,86,87,88,89,90,91	2021-w39,2021-w40,2021-w42,2021-w43,2021-w44,2021-w45,2021-w46,2021-w47,2021-w48,2021-w50,2021-w51	9,9,13,10,11,8,3,5,2,8,3
Santo André	5	1	71	0,3,4,5,6,7,9,9,11,11,13,14,15,16,17,18,19,20,21,22,23	2020-w12,2020-w15,2020-w16,2020-w17,2020-w18,2020-w19,2020-w21,2020-w21,2020-w23,2020-w23,2020-w25,2020-w26,2020-w27,2020-w28,2020-w29,2020-w30,2020-w31,2020-w32,2020-w33,2020-w34,2020-w35	11,27,30,34,35,46,73,73,66,66,46,41,40,71,66,67,55,57,45,28,53
Santo André	5	2	38	25,27,27,29,29,31,36,37,38,39,40	2020-w37,2020-w39,2020-w39,2020-w41,2020-w41,2020-w43,2020-w48,2020-w49,2020-w50,2020-w51,2020-w52	39,24,24,36,36,35,72,85,81,109,66
